"","BSS_0_1","BSS_0_2","BSS_0_3","M_0_1","M_0_2","M_0_3"
"LOC_Os11g04420",173.368067975222,130.122812434322,187.914166175675,149.826093655014,94.5502316397898,287.802885156846
"LOC_Os11g04440",28.4431986521849,91.2549593695244,23.6234951763705,16.5249368001854,3.15167438799299,34.6863412078283
"LOC_Os11g04460",121.899422795078,64.2164528896653,44.5625022645171,90.3363211743467,41.7596856409072,17.8119049445605
"LOC_Os11g04480",1214.93091385761,1172.79521856389,1061.44659008374,1428.85620198936,1831.12281942393,1348.07996369884
"LOC_Os11g04500",10.8355042484514,27.0385064798591,17.1807237646331,90.3363211743467,160.735393787643,61.8729329653154
"LOC_Os11g04520",136.798241136699,177.440198774075,75.1656664702698,83.7263464542726,72.4885109238389,63.7478703279007
"LOC_Os11g04560",104.291728391345,32.1082264448326,122.949554440656,2.20332490669138,12.606697551972,22.4992483510238
"LOC_Os11g04600",27.0887606211285,37.1779464098062,0,12.1182869868026,13.3946161489702,6.56228076904861
"LOC_Os11g04670",269.533168180229,283.90431803852,170.196544793397,309.567149390139,240.315172084466,398.42418954938
"LOC_Os11g04710",43.3420169938056,3.37981330998239,0,25.3382364269509,22.061720715951,0
"LOC_Os11g04720",1568.43923996334,2318.55193064792,2241.01065604933,1515.88753580367,2203.0203972071,1124.0249488699
"LOC_Os11g04730",29.7976366832414,147.021878984234,17.7176213822779,0,0,0
"LOC_Os11g04740",18.96213243479,0,3.22138570586871,29.7448862403337,26.7892322979405,52.4982461523889
"LOC_Os11g04830",14.8988183416207,0,35.9721403822006,0,12.606697551972,0
"LOC_Os11g04850",10.8355042484514,62.5265462346741,10.7379523528957,27.5415613336423,3.15167438799299,1.87493736258532
"LOC_Os11g04880",2119.69551860331,1997.46966619959,2511.6070553423,1609.52884433806,1688.50955336725,1765.25352687408
"LOC_Os11g04930",123.253860826135,69.2861728546389,193.820039969767,104.657933067841,63.8214063568581,68.435213734364
"LOC_Os11g04950",329.128441546711,239.966745008749,313.011311086909,320.583773923596,283.65069491937,312.177070870455
"LOC_Os11g04980",177.431382068392,307.563011208397,245.899108881311,212.620853495718,374.261333574168,340.301131309235
"LOC_Os11g04990",82.6207198944419,8.44953327495596,13.4224404411196,22.0332490669138,50.4267902078879,1.87493736258532
"LOC_Os11g05050",216.710084969028,219.687865148855,168.048954322818,24.2365739736052,0.787918596998249,0
